stack,ind,Cell_Label
stack_1,013_002,8.0
stack_1,012_008,7.0
stack_1,011_007,8.0
stack_1,010_007,7.0
stack_1,009_004,5.0
stack_1,008_008,2.0
stack_1,018_005,6.0
stack_1,031_007,6.0
stack_1,058_015,13.0
stack_1,033_007,9.0
stack_1,055_007,9.0
stack_1,054_003,6.0
stack_1,053_006,4.0
stack_1,052_008,6.0
stack_1,051_001,4.0
stack_1,050_005,5.0
stack_1,049_013,7.0
stack_1,048_011,7.0
stack_1,047_005,1.0
stack_1,032_002,12.0
stack_1,045_007,9.0
stack_1,056_011,5.0
stack_1,043_003,3.0
stack_1,042_001,4.0
stack_1,041_001,4.0
stack_1,040_002,1.0
stack_1,039_009,13.0
stack_1,038_003,2.0
stack_1,037_007,13.0
stack_1,036_009,8.0
stack_1,035_001,2.0
stack_1,034_011,12.0
stack_1,044_005,1.0
stack_1,075_003,1.0
stack_1,076_001,15.0
stack_1,077_010,15.0
stack_1,078_001,11.0
stack_1,083_001,7.0
stack_1,080_004,20.0
stack_1,081_004,19.0
stack_1,082_001,12.0
stack_1,074_006,2.0
stack_1,079_002,8.0
stack_1,073_001,1.0
stack_1,067_019,23.0
stack_1,070_004,24.0
stack_1,069_014,13.0
stack_1,068_011,15.0
stack_1,066_021,21.0
stack_1,065_017,6.0
stack_1,064_016,12.0
stack_1,063_001,1.0
stack_1,062_005,7.0
stack_1,061_008,8.0
stack_1,084_016,20.0
stack_1,072_003,1.0
stack_1,085_004,25.0
stack_1,097_003,10.0
stack_1,087_001,8.0
stack_1,109_036,1.0
stack_1,108_008,3.0
stack_1,107_020,1.0
stack_1,106_003,4.0
stack_1,105_006,14.0
stack_1,104_011,13.0
stack_1,103_005,1.0
stack_1,102_001,10.0
stack_1,101_011,1.0
stack_1,100_003,6.0
stack_1,086_008,
stack_1,099_015,1.0
stack_1,060_003,14.0
stack_1,096_001,15.0
stack_1,095_019,30.0
stack_1,094_001,1.0
stack_1,093_001,13.0
stack_1,092_012,29.0
stack_1,091_011,26.0
stack_1,090_009,10.0
stack_1,089_001,7.0
stack_1,088_001,8.0
stack_1,098_017,31.0
stack_1,059_007,16.0
stack_1,071_011,11.0
stack_1,057_004,10.0
stack_1,030_004,6.0
stack_1,029_012,11.0
stack_1,028_010,2.0
stack_1,027_004,7.0
stack_1,026_001,3.0
stack_1,025_005,7.0
stack_1,024_003,3.0
stack_1,023_005,3.0
stack_1,022_002,1.0
stack_1,021_006,7.0
stack_1,020_007,6.0
stack_1,019_003,2.0
stack_1,018_005,6.0
stack_1,017_003,7.0
stack_1,016_002,8.0
stack_1,015_003,7.0
stack_1,014_006,9.0
stack_1,013_002,8.0
stack_1,012_008,7.0
stack_1,011_007,8.0
stack_1,010_007,7.0
stack_1,009_004,5.0
stack_1,058_015,13.0
stack_1,031_007,6.0
stack_1,032_002,12.0
stack_1,008_008,2.0
stack_1,034_011,12.0
stack_1,033_007,9.0
stack_1,055_007,9.0
stack_1,054_003,6.0
stack_1,053_006,4.0
stack_1,052_008,6.0
stack_1,051_001,4.0
stack_1,050_005,5.0
stack_1,049_013,7.0
stack_1,048_011,7.0
stack_1,047_005,1.0
stack_1,046_004,1.0
stack_1,056_011,5.0
stack_1,045_007,9.0
stack_1,044_005,1.0
stack_1,043_003,3.0
stack_1,042_001,4.0
stack_1,041_001,4.0
stack_1,040_002,1.0
stack_1,039_009,13.0
stack_1,038_003,2.0
stack_1,037_007,13.0
stack_1,036_009,8.0
stack_1,035_001,2.0
stack_1,074_024,12.0
stack_1,075_023,13.0
stack_1,076_003,14.0
stack_1,077_008,23.0
stack_1,082_011,17.0
stack_1,079_015,17.0
stack_1,080_005,
stack_1,081_007,15.0
stack_1,078_022,17.0
stack_1,073_025,10.0
stack_1,068_003,9.0
stack_1,109_013,6.0
stack_1,070_025,15.0
stack_1,069_005,9.0
stack_1,061_010,16.0
stack_1,067_004,20.0
stack_1,066_002,17.0
stack_1,065_001,3.0
stack_1,064_006,8.0
stack_1,063_008,
stack_1,062_009,14.0
stack_1,083_024,2.0
stack_1,072_022,11.0
stack_1,084_010,18.0
stack_1,096_019,11.0
stack_1,086_020,23.0
stack_1,060_008,11.0
stack_1,108_009,7.0
stack_1,107_009,7.0
stack_1,106_004,8.0
stack_1,105_016,10.0
stack_1,104_015,22.0
stack_1,103_009,6.0
stack_1,102_003,4.0
stack_1,101_006,3.0
stack_1,100_005,8.0
stack_1,085_022,22.0
stack_1,099_005,6.0
stack_1,097_005,7.0
stack_1,095_030,31.0
stack_1,094_005,2.0
stack_1,093_015,17.0
stack_1,092_014,25.0
stack_1,091_018,24.0
stack_1,090_011,8.0
stack_1,089_010,6.0
stack_1,088_009,6.0
stack_1,087_016,2.0
stack_1,098_024,29.0
stack_1,059_002,15.0
stack_1,071_019,23.0
stack_1,057_013,15.0
stack_1,029_009,10.0
stack_1,028_010,2.0
stack_1,027_004,7.0
stack_1,026_001,3.0
stack_1,025_005,7.0
stack_1,024_003,3.0
stack_1,023_005,3.0
stack_1,022_002,1.0
stack_1,021_006,7.0
stack_1,020_007,6.0
stack_1,030_007,4.0
stack_1,019_003,2.0
stack_1,017_003,7.0
stack_1,016_002,8.0
stack_1,015_003,7.0
stack_1,014_006,9.0
stack_1,013_002,8.0
stack_1,012_008,7.0
stack_1,011_007,8.0
stack_1,010_007,7.0
stack_1,009_004,5.0
stack_1,008_008,2.0
stack_1,018_005,6.0
stack_1,031_005,4.0
stack_1,058_013,15.0
stack_1,033_004,3.0
stack_1,032_012,7.0
stack_1,055_006,15.0
stack_1,054_002,13.0
stack_1,053_005,12.0
stack_1,052_014,14.0
